0,1,2
12.96,11.59,12.4
19.99,18.45,17.79
35.49,28.57,29.26
31.09,26.36,30.61
22.18,14.38,13.93
32.99,11.23,9.33
20.81,27.65,17.44
23.3,19.29,20.27
20.52,17.53,19.14
33.53,21.13,14.84
19.08,20.17,19.13
22.92,13.75,20.55
24.29,21.97,24.87
53.37,10.26,12.46
21.38,19.24,21.67
22.74,15.15,13.45
16.35,16.15,16.05
11.97,11.36,11.03
20.92,17.08,16.66
21.51,15.69,16.83
39.34,15.54,16.56
12.47,12.38,12.96
24.85,12.15,15.29
24.6,24.09,24.0
19.15,18.29,18.81
17.03,11.57,12.83
19.42,17.76,14.54
11.67,14.18,11.98
19.4,14.03,17.77
15.81,12.26,13.33
20.74,17.35,20.51
22.69,19.79,17.35
16.39,18.09,17.45
24.26,15.63,17.73
18.49,16.71,18.66
17.05,17.68,17.87
17.96,15.31,15.19
17.15,17.82,16.36
24.14,25.66,25.72
19.87,19.95,21.67
13.3,11.91,13.71
12.62,15.38,15.12
28.53,26.88,24.71
18.18,18.24,18.25
14.22,13.18,14.05
34.75,7.36,23.14
10.34,9.9,10.64
7.33,8.68,6.61
14.73,14.28,14.82
21.6,16.8,18.69
38.91,30.3,29.58
19.34,18.09,20.01
33.4,10.21,12.64
19.0,18.7,17.22
16.6,11.94,15.42
15.43,13.14,13.09
25.26,25.2,26.07
23.05,17.94,16.15
35.79,12.63,18.73
19.64,16.84,17.31
22.68,15.13,14.32
30.31,10.26,12.51
17.79,14.21,16.03
18.17,19.57,18.88
36.32,13.7,10.81
14.99,10.62,11.49
16.49,14.63,15.6
23.84,16.17,21.73
22.21,21.88,21.04
12.55,12.01,12.67
35.5,16.43,9.98
16.71,15.96,18.6
12.53,14.13,12.93
18.09,16.38,18.1
19.45,14.11,15.43
22.82,20.09,22.83
20.43,15.2,15.74
38.63,38.89,37.25
19.98,13.82,14.55
25.77,19.73,16.95
21.77,16.66,18.05
15.38,15.21,14.94
20.9,19.54,20.89
12.6,14.73,13.67
26.88,18.95,19.92
18.78,16.82,17.62
23.9,21.69,22.32
10.14,7.64,7.92
22.25,23.12,22.58
24.17,24.12,25.16
25.23,22.62,23.44
26.57,22.96,20.72
26.56,23.18,24.52
15.62,14.95,16.19
14.17,10.63,12.76
19.3,14.43,13.84
13.81,15.3,13.73
28.43,22.48,20.36
33.55,13.84,13.03
29.37,13.12,14.33
10.59,11.38,11.01
18.2,20.53,18.71
16.12,16.79,16.92
22.54,17.64,17.34
24.12,16.09,17.14
21.55,14.86,18.24
14.44,18.79,15.28
16.62,15.92,17.08
24.96,17.27,20.02
21.19,15.92,18.4
18.16,15.03,14.62
10.35,12.5,11.65
19.79,14.53,15.0
12.89,12.79,12.67
15.03,13.72,13.36
14.95,14.74,15.47
21.37,21.44,21.54
31.22,20.09,18.16
14.72,12.94,12.98
20.87,18.44,18.98
12.04,9.27,9.35
24.31,20.46,22.72
17.49,12.79,14.16
23.03,18.72,21.33
30.83,24.48,26.41
22.78,21.86,22.01
13.25,11.51,12.69
16.59,19.46,17.86
13.28,12.11,12.93
21.71,11.47,9.83
22.33,19.49,21.75
14.77,19.49,15.25
29.82,37.13,35.64
32.85,11.85,13.11
20.06,17.86,19.4
21.92,13.0,14.13
16.67,15.18,15.57
60.0,35.8,35.57
15.59,14.67,16.39
26.03,15.14,19.21
17.69,14.07,13.98
11.54,11.43,11.85
18.21,15.63,16.64
21.84,19.86,19.76
22.64,15.32,17.21
28.51,19.39,20.25
25.49,18.61,19.93
19.1,15.73,16.59
20.0,20.61,20.49
12.51,9.87,12.47
19.4,17.22,17.25
22.71,13.24,17.1
20.44,13.42,16.76
60.0,22.8,25.18
29.0,16.84,15.09
18.88,14.01,15.02
23.05,22.87,22.6
43.99,11.14,11.9
31.33,31.82,30.76
12.42,8.71,8.12
21.6,14.89,15.65
11.44,11.95,12.8
35.75,13.46,12.62
21.83,17.04,19.7
23.5,16.8,16.91
16.63,16.91,16.47
20.58,18.64,18.22
22.14,21.1,22.69
21.46,10.98,11.23
22.41,10.22,12.88
13.53,14.9,15.41
18.79,20.61,21.98
24.88,25.9,23.15
35.83,13.16,19.32
14.25,15.57,14.35
26.54,27.54,27.73
18.53,18.8,17.53
25.87,22.38,27.22
22.41,23.83,21.84
20.8,13.56,13.79
21.37,20.78,21.67
18.66,12.31,13.82
22.8,21.72,22.71
31.54,23.06,21.36
13.08,8.63,12.26
16.67,10.04,10.06
26.16,25.84,26.03
19.95,14.71,14.34
5.63,5.53,5.22
26.75,15.41,15.79
16.06,11.73,13.01
16.38,15.72,15.8
24.89,15.6,15.18
17.94,16.07,15.72
30.06,19.8,18.25
21.28,12.67,13.28
13.53,12.68,12.38
29.19,30.57,29.46
24.91,19.69,18.78
26.14,26.2,24.65
26.68,25.45,26.71
26.86,23.47,25.48
30.66,20.91,18.64
16.42,16.94,17.7
25.84,23.77,23.86
11.43,10.66,9.96
17.53,17.63,18.32
13.12,14.18,12.75
11.51,10.58,11.49
15.45,16.4,16.06
20.77,14.61,14.68
18.35,17.12,16.76
17.57,16.87,17.55
12.58,13.03,12.41
16.41,17.08,15.11
15.79,18.05,17.75
17.49,15.43,16.08
20.17,20.58,19.68
17.97,17.84,18.18
23.38,23.81,21.77
